                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0488,                 6.0066,                 2.3694,                 0.0028,                0.36905,                0.00402,                 0.0009,                 2.2793,                 4.6974,                 3.1588,                  0.091,                  0.001,                  0.001
                      1,                  1.803,                 5.0215,                 2.1387,                0.00609,                  0.687,                0.01856,                0.00622,                 1.6844,                 4.0539,                 2.3846,               0.081017,              0.0020168,              0.0020168
                      2,                 1.4827,                 4.1319,                 1.7755,                0.42866,                0.22757,                0.22642,                0.14217,                 1.1443,                 2.9415,                 1.7466,               0.070947,              0.0029466,              0.0029466
                      3,                 1.2538,                 3.4288,                  1.579,                0.44254,                 0.5663,                0.50569,                0.37166,                0.92133,                 2.2723,                 1.4819,               0.060789,              0.0037892,              0.0037892
                      4,                 1.0112,                 2.6596,                 1.3892,                 0.6872,                0.50783,                0.69923,                0.56692,                0.76724,                 1.6847,                 1.2996,               0.050545,              0.0045446,              0.0045446
                      5,                0.89515,                 2.2668,                  1.277,                0.88857,                0.72097,                0.82547,                0.69252,                0.67564,                 1.0743,                 1.2251,               0.040213,               0.005213,               0.005213
                      6,                 0.8907,                  1.955,                 1.2606,                0.66946,                0.87247,                0.91825,                0.72494,                0.86805,                 1.1131,                   1.43,               0.029794,              0.0057942,              0.0057942
                      7,                0.89006,                 1.8938,                 1.2884,                0.79678,                0.81755,                0.94487,                0.77342,                0.74078,                 1.0536,                  1.284,               0.019288,              0.0062884,              0.0062884
                      8,                0.79435,                 1.6294,                 1.2091,                0.83542,                0.89583,                 0.9671,                0.84103,                0.56864,                0.78549,                 1.1061,              0.0086954,              0.0066954,              0.0066954
                      9,                0.74261,                 1.5093,                 1.1723,                0.79149,                0.87603,                0.93134,                0.79967,                 0.6071,                 1.2071,                 1.1372,               0.006436,               0.006436,               0.006436
                     10,                0.76421,                 1.4533,                 1.1821,                0.86784,                0.89759,                0.93839,                0.79684,                0.61471,                0.64348,                  1.154,               0.006436,               0.006436,               0.006436
                     11,                0.75622,                  1.323,                 1.1789,                0.95264,                0.74996,                0.92254,                0.75319,                0.76658,                 0.8857,                 1.3144,                0.00604,                0.00604,                0.00604
                     12,                0.68508,                 1.0997,                 1.0912,                0.84411,                0.91376,                0.93334,                0.80487,                0.61291,                0.76175,                 1.1459,               0.005644,               0.005644,               0.005644
                     13,                0.82216,                 1.2508,                 1.1798,                 0.8581,                0.95513,                 0.9579,                0.84202,                0.56315,                0.66294,                 1.1025,               0.005248,               0.005248,               0.005248
                     14,                0.74781,                 1.1774,                 1.1679,                0.88054,                0.90807,                0.97379,                0.85829,                0.55125,                0.63356,                 1.1049,               0.004852,               0.004852,               0.004852
                     15,                0.58966,                 1.1123,                 1.1356,                0.85696,                0.94736,                0.98004,                0.85795,                0.56625,                0.59086,                 1.1071,               0.004456,               0.004456,               0.004456
                     16,                0.55395,                0.87751,                 1.1249,                0.90697,                0.95674,                0.98069,                0.85391,                0.56993,                0.48303,                 1.1263,                0.00406,                0.00406,                0.00406
                     17,                0.58332,                0.90851,                 1.1325,                0.86953,                0.96725,                0.97807,                0.86285,                 0.5231,                0.47309,                 1.0735,               0.003664,               0.003664,               0.003664
                     18,                0.57854,                0.84571,                 1.1251,                0.90216,                0.99067,                0.97904,                0.87816,                 0.4739,                0.43977,                 1.0031,               0.003268,               0.003268,               0.003268
                     19,                 0.5584,                0.79792,                 1.0746,                0.91637,                0.96287,                0.97587,                0.87897,                0.48378,                0.43158,                 1.0191,               0.002872,               0.002872,               0.002872
                     20,                 0.5344,                0.71351,                  1.092,                0.91174,                0.96873,                0.97587,                 0.8793,                0.47212,                 0.4182,                0.99932,               0.002476,               0.002476,               0.002476
                     21,                0.51769,                0.66937,                  1.053,                0.92446,                0.97026,                0.97587,                0.89173,                0.45086,                0.40517,                0.97697,                0.00208,                0.00208,                0.00208
                     22,                0.51053,                 0.6733,                  1.034,                0.92525,                0.98282,                 0.9776,                0.89538,                 0.4357,                0.38166,                0.95928,               0.001684,               0.001684,               0.001684
                     23,                0.48755,                 0.6146,                 1.0583,                0.93636,                0.98659,                0.98933,                0.91357,                0.43049,                0.34977,                0.95516,               0.001288,               0.001288,               0.001288
                     24,                0.50485,                0.61148,                 1.0582,                0.94611,                0.98986,                0.99412,                0.92274,                0.41593,                0.33577,                0.94459,               0.000892,               0.000892,               0.000892
